Activity,Time spent day : 2024-06-24
Securite Windows ,0:00:01.032000
Visual Studio Code ,0:00:23.242000
Planificateur de taches ,0:00:13.198159
CUserspcAppDataLocalProgramsPythonPython39pythonexe ,0:00:03.047000
Selection CUserspcAppDataLocalProgramsPythonPython39pythonexe ,0:00:07.064000
Google Chrome ,0:00:01.008000
WhatsApp ,0:00:14.136259
Explorateur de fichiers ,0:00:09.108000
automatictimetrackingdesktopclient ,0:00:08.060000
timetrackingtest ,0:00:03.022000
Proj 104 ,0:00:02.021000
Gestionnaire des taches ,0:00:17.198539
Burp Suite installation wizard ,0:00:10.093000
Updating Burp Suite ,0:00:30.190000
Burp Suite Community Edition v2024116 ,0:00:03.023000
automatictimetrackingdesktopclienttestbranch ,0:00:03.032000
Excel ,0:00:12.112296
Ouvrir ,0:00:10.115787
